plataforma,sample,jogo,genero,nota_do_usuarios,nota_do_site,distribuidor,desenvolvedor,quantos_possuem,quantos_desejam,numero_de_jogadores,ano_de_lancamento
psp,1,tekken_dark_ressurrection,luta,9.2,9.2,namco_bandai_games,namco_bandai_games_america,3922,1644,2,2006
psp,2,daxter,aventura,9,9.1,ready_at_dawn,scea,4114,1693,2,2006
psp,3,metal_gear_solid_portable_ops,aventura,9.2,9,konami,kojima_productions,6515,3143,6,2006
psp,4,burnout_legends,corrida,9.1,9,ea_games,criterion_games,4496,1653,4,2005
psp,5,lumines,puzzle,8.8,9,ubisoft,q_ent.,2736,971,2,2005
psp,6,silphon_filter_dark_mirror,tiro,8.9,8.8,sony_bend,scea,2506,1147,8,2006
psp,7,world_soccer_winning_eleven_9,esporte,8.7,8.8,konami,kcet,711,275,2,2006
psp,8,wipeout_pure,corrida,8.7,8.8,scea,studio_liverpool,2390,795,8,2005
psp,9,socom_u.s._navy_seals_fireteam_bravo,tiro,8.9,8.7,scea,zipper_interactive,3521,1111,10,2005
psp,10,fifa_06,esporte,8.4,8.7,ea_sports,ea_sports,584,147,4,2005
psp,11,sid_meiers_pirates,estrategia,8.4,8.6,2k_games,full_hat,746,367,4,2007
psp,12,mlb_06_the_show,esporte,8.8,8.6,scea,scea_san_diego,526,122,2,2006
psp,13,grand_theft_auto_liberty_city_stories,aventura,9,8.6,rockstar_games,rockstar_leeds,13302,4510,6,2005
psp,14,syphon_filter_logans_shadow,tiro,8.9,8.5,scea,sony_bend,762,543,1,2007
psp,15,crush,aventura,8.2,8.5,sega,zoe_mode,562,370,1,2007
psp,16,puzzle_quest_challenge_of_the_warlords,puzzle,8.5,8.5,d3,vicious_cycle,392,206,2,2007
psp,17,mega_man_powered_up,aventura,8.7,8.5,capcom,capcom,1159,649,1,2006
psp,18,wwe_smackdown_vs._raw_2006,luta,8.8,8.5,thq,yukes,1288,411,4,2005
psp,19,twisted_metal_headon,tiro,8.6,8.5,scea,incognito,1909,711,6,2005
psp,20,tony_hawks_underground_2_remix,esporte,8.6,8.5,activision,shaba_games,1446,620,4,2005
psp,21,lumines_ii,puzzle,8.6,8.4,buena_vista_games,q_ent.,938,523,2,2006
psp,22,grand_theft_auto_vice_city_stories,aventura,9,8.4,rockstar_games,rockstar_leeds,5254,2073,1,2006
psp,23,2006_fifa_world_cup,esporte,8.2,8.4,eletronic_arts,ea_canada,263,69,4,2006
psp,24,field_commander,estrategia,8.3,8.4,sony_online_ent.,sony_online_ent.,1330,619,2,2006
